Static block was called
Non-static block was called
10Leonid Kadeniuk	AstronautIntern 	20	100	0
Group position: x=10.0, y=0.0
Group position: x=280.0, y=1209.0
Group position: x=290.0, y=1209.0
Group position: x=300.0, y=1209.0
Group position: x=310.0, y=1209.0
Group position: x=320.0, y=1209.0
Group position: x=330.0, y=1209.0
Group position: x=340.0, y=1209.0
Group position: x=350.0, y=1209.0
Group position: x=360.0, y=1209.0
Group position: x=370.0, y=1209.0
Group position: x=380.0, y=1209.0
Group position: x=390.0, y=1209.0
Group position: x=400.0, y=1209.0
Group position: x=410.0, y=1209.0
Group position: x=420.0, y=1209.0
Group position: x=430.0, y=1209.0
Group position: x=440.0, y=1209.0
Group position: x=450.0, y=1209.0
Group position: x=460.0, y=1209.0
Group position: x=470.0, y=1209.0
Group position: x=480.0, y=1209.0
Group position: x=490.0, y=1209.0
Group position: x=500.0, y=1209.0
Group position: x=510.0, y=1209.0
Group position: x=520.0, y=1209.0
Group position: x=530.0, y=1209.0
Group position: x=540.0, y=1209.0
Group position: x=550.0, y=1209.0
Group position: x=560.0, y=1209.0
Group position: x=570.0, y=1209.0
Group position: x=580.0, y=1209.0
Group position: x=590.0, y=1209.0
Group position: x=600.0, y=1209.0
Group position: x=610.0, y=1209.0
Group position: x=620.0, y=1209.0
Group position: x=630.0, y=1209.0
Group position: x=640.0, y=1209.0
Group position: x=640.0, y=1199.0
Group position: x=640.0, y=1189.0
Group position: x=640.0, y=1179.0
Group position: x=640.0, y=1169.0
Group position: x=640.0, y=1159.0
Group position: x=640.0, y=1149.0
Group position: x=640.0, y=1139.0
Group position: x=640.0, y=1129.0
Group position: x=640.0, y=1119.0
Group position: x=640.0, y=1109.0
Group position: x=640.0, y=1099.0
Group position: x=640.0, y=1089.0
Group position: x=640.0, y=1079.0
Group position: x=640.0, y=1069.0
Group position: x=640.0, y=1059.0
Group position: x=640.0, y=1049.0
Group position: x=640.0, y=1039.0
Group position: x=640.0, y=1029.0
Group position: x=640.0, y=1019.0
Group position: x=640.0, y=1009.0
Group position: x=640.0, y=999.0
Group position: x=640.0, y=989.0
Group position: x=640.0, y=979.0
Group position: x=640.0, y=969.0
Group position: x=640.0, y=959.0
Group position: x=640.0, y=949.0
Group position: x=640.0, y=939.0
Group position: x=640.0, y=929.0
Group position: x=640.0, y=919.0
Group position: x=640.0, y=909.0
Group position: x=650.0, y=909.0
Group position: x=660.0, y=909.0
Group position: x=670.0, y=909.0
Group position: x=680.0, y=909.0
Group position: x=690.0, y=909.0
Group position: x=700.0, y=909.0
Group position: x=710.0, y=909.0
Group position: x=720.0, y=909.0
Group position: x=730.0, y=909.0
Group position: x=740.0, y=909.0
Group position: x=750.0, y=909.0
Group position: x=760.0, y=909.0
